time,open,high,low,close,volume
1544886000,3183.88,3184.75,3156.26,3172.05,1806.461371
1544889600,3172.62,3192.28,3164,3189,1667.509908
1544893200,3189,3195,3175.02,3185.94,1078.002918
1544896800,3185.94,3187.25,3176,3182.73,647.762869
1544900400,3183.9,3210,3180,3206,1086.575475
1544904000,3206,3229.97,3197.01,3223.2,1778.828528
1544907600,3222.24,3243,3212.34,3235.98,1190.039045
1544911200,3236,3244.99,3224.53,3225.66,1153.228728
1544914800,3224.61,3249,3205.01,3211.72,1178.594697
1544918400,3211.71,3223.88,3209.26,3214,785.742169
1544922000,3212.59,3225.95,3186,3215.99,959.001064
1544925600,3215.98,3278,3215.98,3256.73,2964.518136
1544929200,3256.9,3283.64,3255.09,3272.59,1648.306907
1544932800,3273.58,3293.64,3263.33,3264,1153.302378
1544936400,3263.99,3273.77,3261.63,3269.39,599.99562
1544940000,3270.33,3282.01,3269.37,3269.39,835.594887
1544943600,3269.6,3275.24,3246.73,3251.12,862.849354
1544947200,3251.1,3259.82,3238.91,3245.7,740.555518
1544950800,3245.7,3255.26,3240,3250.98,920.55178
1544954400,3250.98,3273.8,3250.34,3260.45,1091.302344
1544958000,3260.45,3274.97,3255.6,3267.47,652.668001
1544961600,3267.79,3294,3255.83,3259.17,1364.468017
1544965200,3259.17,3263.4,3248.12,3253.88,978.544882
1544968800,3253.96,3254.91,3220.98,3230.84,1444.811482
1544972400,3230.86,3245.5,3222.01,3242.65,859.202371
1544976000,3242.6,3248.83,3235,3247.34,886.118587
1544979600,3247.36,3248.4,3222,3225.12,923.559953
1544983200,3225.12,3237.26,3222.59,3235.9,591.186708
1544986800,3236.9,3267,3235.58,3256.59,1221.530624
1544990400,3256.59,3258.16,3240.75,3249.61,781.147843
1544994000,3249.64,3253.01,3230,3232.62,733.121264
1544997600,3232.62,3234.88,3215.2,3232.51,948.30588
1545001200,3231.32,3241,3218,3228.67,682.422769
1545004800,3229.22,3253.76,3223.38,3244.55,951.486331
1545008400,3243.97,3245.45,3230.01,3230.93,495.349247
1545012000,3232.74,3242.63,3216,3235.23,935.140824
1545015600,3235.26,3245.56,3234.08,3239.36,474.934811
1545019200,3239.73,3244.5,3231.02,3243.53,437.521657
1545022800,3244.49,3248.03,3237.95,3246.87,603.685924
1545026400,3246.87,3270,3246.2,3252.09,1303.361202
1545030000,3252.09,3280,3248,3273.33,1186.632839
1545033600,3273.33,3289.28,3264,3268.98,1336.876555
1545037200,3267.5,3290,3263,3264.09,1088.505522
1545040800,3266.53,3272.98,3255.21,3265.96,1335.576999
1545044400,3265.96,3274.47,3257.5,3271.86,1194.05195
1545048000,3271.86,3424,3271,3409.71,9128.92814
1545051600,3409.9,3449.98,3377,3405.08,5714.987044
1545055200,3405.84,3444.01,3401.05,3412.31,5091.189808
1545058800,3412.29,3425,3395.88,3421.4,2379.749232
1545062400,3421.76,3466.88,3419.04,3444,3726.780767
1545066000,3444.03,3464.7,3431,3447,2860.489687
1545069600,3447,3547,3442.37,3539.35,5552.326701
1545073200,3540.06,3580,3516.9,3535.61,7028.967294
1545076800,3535.99,3585,3529.94,3552.02,3789.4214
1545080400,3552.02,3552.76,3472.25,3494.83,5019.657079
1545084000,3493.7,3524.21,3475.09,3482.28,3346.541588
1545087600,3483.05,3519.42,3477,3509.08,1779.589096
1545091200,3509.03,3547.85,3500.36,3505.26,2259.423964
1545094800,3505.26,3512.73,3482.48,3496.34,1702.800086
1545098400,3496.34,3519.99,3493.61,3505.03,1320.761752
1545102000,3505.02,3545,3501.83,3537.27,1673.040581
1545105600,3537.33,3538.39,3517.17,3530.34,1357.533949
1545109200,3530.57,3530.98,3481.34,3492.49,2076.564494
1545112800,3492.52,3509.97,3490.86,3497.67,1201.283687
1545116400,3498.16,3523.86,3490.01,3510.83,1285.79048
1545120000,3510.81,3510.81,3440.11,3457.54,3760.799343
1545123600,3457.2,3460.72,3432.89,3456.84,2565.07088
1545127200,3456.84,3477,3446.98,3474,1890.290321
1545130800,3474.06,3500,3424.47,3490.85,2796.838387
1545134400,3490.85,3499.42,3474,3490.39,2178.615095
1545138000,3489.64,3552,3479.01,3536.03,4131.284359
1545141600,3536.03,3577,3524,3561.3,4121.670904
1545145200,3561.9,3573.25,3508.01,3512.18,3679.961826
1545148800,3512.18,3542.94,3509.59,3529,2213.461217
