time,open,high,low,close,volume,trades
1589126400,8652.27,8686.87,8255,8270,13476.33285,101404
1589130000,8270,8548.44,8265.75,8527.85,8666.109948,72206
1589133600,8527.85,8569.69,8421.17,8487.43,4644.606093,44579
1589137200,8487.43,8564.78,8483.2,8502.94,2886.078844,32467
1589140800,8500.66,8784.66,8500.66,8663.94,7868.345746,67789
1589144400,8663.85,8783.13,8662.43,8717.94,2808.198079,36133
1589148000,8717.55,8799.08,8685,8777.99,2699.544073,30285
1589151600,8778,8837.28,8540.41,8722.77,7674.698671,58167
1589155200,8722.77,8805.14,8696,8770.16,3812.842913,35578
1589158800,8770.15,8775,8684.9,8713.41,2206.729701,23376
1589162400,8711.93,8761.18,8690,8748.07,1879.771451,18060
1589166000,8747.18,8768,8658.56,8696.64,2742.314421,26528
1589169600,8696.24,8710.76,8620,8634.53,2670.660752,24181
1589173200,8633.59,8702.39,8613.01,8689.26,2403.74851,23306
1589176800,8689.26,8732.23,8666.66,8684.34,2375.459636,21127
1589180400,8684.68,8706,8625,8664.32,2877.019622,26320
1589184000,8664.32,8685,8566.01,8636.07,3748.902163,33686
1589187600,8635.84,8638.43,8478,8487.1,5554.120437,44012
1589191200,8487.11,8885,8484.5,8803.07,11097.65426,82567
1589194800,8803.07,8990,8746,8927.43,8654.218144,69974
1589198400,8926.17,9168,8725.35,8856.34,22921.02167,149765
1589202000,8856.35,8968,8754,8846.12,8487.80437,71906
1589205600,8847.67,8942.72,8839.55,8871.89,5286.75835,46049
1589209200,8871.57,8956.01,8812.14,8882.96,5057.336588,43350
1589212800,8882.97,8924.48,8325,8604.34,16482.06074,115237
1589216400,8604.34,8672.83,8425.05,8506.76,11005.55836,83542
1589220000,8503.55,8660,8200,8605.35,19287.07916,142323
1589223600,8604.2,8780,8420.07,8746.86,12480.4791,102580
1589227200,8745.25,8807,8563.94,8630.16,8005.845793,69670
1589230800,8630.36,8700,8459.28,8589.84,3845.108694,48826
1589234400,8589.84,8647.35,8519.92,8601.37,2931.683799,33977
1589238000,8600.66,8640.31,8500,8561.52,2993.073196,31442
1589241600,8562.04,8678.55,8528.78,8611.33,3183.633988,33794
1589245200,8611.34,8644,8563.87,8619.5,2378.221965,24295
1589248800,8619.96,8685.71,8592,8637.51,2505.346267,25198
1589252400,8637.05,8742.43,8632.51,8716.07,3157.723002,29355
1589256000,8716.75,8750.01,8664.28,8702.57,2719.182653,25561
1589259600,8702.13,8785,8702.13,8730.75,2657.783077,28908
1589263200,8730.75,8764.01,8652.46,8704.75,2762.883481,28185
1589266800,8704.16,8719.96,8614.98,8656.05,2808.94255,26665
1589270400,8655.76,8764.93,8632.93,8749.75,4017.492316,34261
1589274000,8748.82,8828.72,8743.08,8785.84,4891.217068,39749
1589277600,8785.84,8820,8725.52,8778.21,3434.033308,32510
1589281200,8778.21,8812,8726,8800.92,2503.952075,27832
1589284800,8800.91,8819,8735.42,8769.49,2783.75223,27535
1589288400,8769.74,8780,8659,8730.01,4561.438695,38953
1589292000,8730.02,8917.72,8730.01,8887.26,9344.075552,64333
1589295600,8887.21,8944.72,8846,8867.72,5862.046033,46355
1589299200,8867.72,8953.33,8865.79,8923.82,4768.861547,38593
1589302800,8923.82,8978.26,8792.74,8879,5374.982637,43708
1589306400,8879,8911,8835,8897.89,2869.555238,28017
1589310000,8897.89,8925.98,8775,8792.19,3992.546344,35841
1589313600,8792.19,8844.16,8765,8815.27,3620.554755,30954
