,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2024-04-01 02:00:00+00:00,9995.00001996,0E-8,9995.00001996,USDT,BINANCE-001,MARGIN,,[],True,{}
2024-04-01 21:00:00+00:00,9995.00001996,0E-8,9995.00001996,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-01 22:00:00+00:00,9952.33112374,4.99998004,9947.33114370,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99998004', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-01 22:00:00+00:00,9947.33112442,0E-8,9947.33112442,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 02:00:00+00:00,10141.30612333,4.99999932,10136.30612401,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999932', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 02:00:00+00:00,10136.30612284,0E-8,10136.30612284,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 08:00:00+00:00,10104.89773330,5.00000049,10099.89773281,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00000049', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 08:00:00+00:00,10099.89773787,0E-8,10099.89773787,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 12:00:00+00:00,10094.15651372,4.99999543,10089.15651829,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999543', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 12:00:00+00:00,10089.15650655,0E-8,10089.15650655,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 23:00:00+00:00,9951.70289485,5.00000717,9946.70288768,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00000717', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 23:00:00+00:00,9946.70287612,0E-8,9946.70287612,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 05:00:00+00:00,9820.72127162,5.00001873,9815.72125289,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001873', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 05:00:00+00:00,9815.72126732,0E-8,9815.72126732,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 06:00:00+00:00,9845.96503687,5.00000430,9840.96503257,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00000430', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 06:00:00+00:00,9840.96500809,0E-8,9840.96500809,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 08:00:00+00:00,9835.96573174,5.00002878,9830.96570296,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002878', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 08:00:00+00:00,9830.96570371,0E-8,9830.96570371,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 11:00:00+00:00,9766.76924529,5.00002803,9761.76921726,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002803', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 11:00:00+00:00,9761.76925046,0E-8,9761.76925046,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 15:00:00+00:00,9752.16400186,4.99999483,9747.16400703,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999483', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 15:00:00+00:00,9747.16401169,0E-8,9747.16401169,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 19:00:00+00:00,9753.19335588,4.99999017,9748.19336571,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999017', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 19:00:00+00:00,9748.19333656,0E-8,9748.19333656,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 22:00:00+00:00,9711.36136789,5.00001932,9706.36134857,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001932', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 22:00:00+00:00,9706.36139874,0E-8,9706.36139874,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-04 04:00:00+00:00,9657.18758701,4.99996915,9652.18761786,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99996915', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-04 04:00:00+00:00,9652.18757405,0E-8,9652.18757405,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-04 08:00:00+00:00,9608.33037772,5.00001296,9603.33036476,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001296', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-04 08:00:00+00:00,9603.33038566,0E-8,9603.33038566,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-04 11:00:00+00:00,9603.98718249,4.99999206,9598.98719043,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999206', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-04 11:00:00+00:00,9598.98716804,0E-8,9598.98716804,USDT,BINANCE-001,MARGIN,,[],False,{}
