client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240523-190000-001-000-1,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-001,BINANCE-1-001,BINANCE-001,BINANCE-1-001,MARKET,BUY,0.073537,GTC,False,False,0.073537,TAKER,67992.78,0.0,['4.99998506 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8fc9f59a-6e99-4983-9666-9914cf182adf,2024-05-23 19:00:00+00:00,2024-05-23 19:00:00+00:00
O-20240523-230000-001-000-2,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-002,BINANCE-1-001,BINANCE-001,BINANCE-1-002,MARKET,SELL,0.073537,GTC,True,False,0.073537,TAKER,67969.649999999,0.0,['4.99828415 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5b8c707d-0748-49d2-822d-9718350f297c,2024-05-23 23:00:00+00:00,2024-05-23 23:00:00+00:00
O-20240523-230000-001-000-3,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-003,BINANCE-1-002,BINANCE-001,BINANCE-1-003,MARKET,SELL,0.073562,GTC,False,False,0.073562,TAKER,67969.649999999,0.0,['4.99998339 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a22ab0be-2a21-4b46-8f12-c63a6ea2bfcc,2024-05-23 23:00:00+00:00,2024-05-23 23:00:00+00:00
O-20240524-050000-001-000-4,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-004,BINANCE-1-002,BINANCE-001,BINANCE-1-004,MARKET,BUY,0.073562,GTC,True,False,0.073562,TAKER,67299.99,0.0,['4.95072186 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,dd8d0816-62fa-4fa9-ac42-238deea2142a,2024-05-24 05:00:00+00:00,2024-05-24 05:00:00+00:00
O-20240524-050000-001-000-5,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-005,BINANCE-1-003,BINANCE-001,BINANCE-1-005,MARKET,BUY,0.074294,GTC,False,False,0.074294,TAKER,67299.99,0.0,['4.99998546 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,529e4b1b-c896-42dc-ae06-5f9312500684,2024-05-24 05:00:00+00:00,2024-05-24 05:00:00+00:00
O-20240524-070000-001-000-6,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-006,BINANCE-1-003,BINANCE-001,BINANCE-1-006,MARKET,SELL,0.074294,GTC,True,False,0.074294,TAKER,67155.929999999,0.0,['4.98928266 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6273e303-c715-43c8-a495-06f0c047ece6,2024-05-24 07:00:00+00:00,2024-05-24 07:00:00+00:00
O-20240524-070000-001-000-7,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-007,BINANCE-1-004,BINANCE-001,BINANCE-1-007,MARKET,SELL,0.074454,GTC,False,False,0.074454,TAKER,67155.929999999,0.0,['5.00002761 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fefc0152-6d97-4f63-a485-7939166c9c8a,2024-05-24 07:00:00+00:00,2024-05-24 07:00:00+00:00
O-20240524-100000-001-000-8,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-008,BINANCE-1-004,BINANCE-001,BINANCE-1-008,MARKET,BUY,0.074454,GTC,True,False,0.074454,TAKER,67353.429999999,0.0,['5.01473228 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,54acb517-e1db-40cc-9972-65184b7c4013,2024-05-24 10:00:00+00:00,2024-05-24 10:00:00+00:00
O-20240524-100000-001-000-9,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-009,BINANCE-1-005,BINANCE-001,BINANCE-1-009,MARKET,BUY,0.074235,GTC,False,False,0.074235,TAKER,67353.429999999,0.0,['4.99998188 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6a8d5301-af97-4138-9367-86d649b27554,2024-05-24 10:00:00+00:00,2024-05-24 10:00:00+00:00
O-20240524-120000-001-000-10,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-010,BINANCE-1-005,BINANCE-001,BINANCE-1-010,MARKET,SELL,0.074235,GTC,True,False,0.074235,TAKER,68031.619999999,0.0,['5.05032731 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d54cf20b-3002-40a3-a7c1-cbf6424c326b,2024-05-24 12:00:00+00:00,2024-05-24 12:00:00+00:00
O-20240524-120000-001-000-11,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-011,BINANCE-1-006,BINANCE-001,BINANCE-1-011,MARKET,SELL,0.073495,GTC,False,False,0.073495,TAKER,68031.619999999,0.0,['4.99998391 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8e77536f-4997-4d0d-b433-415ae4033525,2024-05-24 12:00:00+00:00,2024-05-24 12:00:00+00:00
O-20240524-140000-001-000-12,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-012,BINANCE-1-006,BINANCE-001,BINANCE-1-012,MARKET,BUY,0.073495,GTC,True,False,0.073495,TAKER,67869.479999999,0.0,['4.98806743 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2abc1415-7f11-41a0-bd78-0c50610b1140,2024-05-24 14:00:00+00:00,2024-05-24 14:00:00+00:00
