position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
BINANCE-1-001,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240523-190000-001-000-1,O-20240523-230000-001-000-2,BUY,FLAT,0.000000,0.073537,2024-05-23 19:00:00+00:00,1716505200000000000,2024-05-23 23:00:00+00:00,14400000000000.0,67992.78,67969.649999999,['9.99826921 USDT'],-0.00034,-11.69918002 USDT
BINANCE-1-002,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240523-230000-001-000-3,O-20240524-050000-001-000-4,SELL,FLAT,0.000000,0.073562,2024-05-23 23:00:00+00:00,1716526800000000000,2024-05-24 05:00:00+00:00,21600000000000.0,67969.649999999,67299.99,['9.95070525 USDT'],0.00985,39.31082367 USDT
BINANCE-1-003,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-050000-001-000-5,O-20240524-070000-001-000-6,BUY,FLAT,0.000000,0.074294,2024-05-24 05:00:00+00:00,1716534000000000000,2024-05-24 07:00:00+00:00,7200000000000.0,67299.99,67155.929999999,['9.98926812 USDT'],-0.00214,-20.69206176 USDT
BINANCE-1-004,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-070000-001-000-7,O-20240524-100000-001-000-8,SELL,FLAT,0.000000,0.074454,2024-05-24 07:00:00+00:00,1716544800000000000,2024-05-24 10:00:00+00:00,10800000000000.0,67155.929999999,67353.429999999,['10.01475989 USDT'],-0.00294,-24.71942489 USDT
BINANCE-1-005,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-100000-001-000-9,O-20240524-120000-001-000-10,BUY,FLAT,0.000000,0.074235,2024-05-24 10:00:00+00:00,1716552000000000000,2024-05-24 12:00:00+00:00,7200000000000.0,67353.429999999,68031.619999999,['10.05030919 USDT'],0.01007,40.29512546 USDT
BINANCE-1-006,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-120000-001-000-11,O-20240524-140000-001-000-12,SELL,FLAT,0.000000,0.073495,2024-05-24 12:00:00+00:00,1716559200000000000,2024-05-24 14:00:00+00:00,7200000000000.0,68031.619999999,67869.479999999,['9.98805134 USDT'],0.00238,1.92842796 USDT
BINANCE-1-007,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240524-140000-001-000-13,O-20240525-060000-001-000-14,BUY,FLAT,0.000000,0.073671,2024-05-24 14:00:00+00:00,1716616800000000000,2024-05-25 06:00:00+00:00,57600000000000.0,67869.479999999,69059.35,['10.08768383 USDT'],0.01753,77.57122894 USDT
BINANCE-1-008,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-060000-001-000-15,O-20240525-100000-001-000-16,SELL,FLAT,0.000000,0.072401,2024-05-25 06:00:00+00:00,1716631200000000000,2024-05-25 10:00:00+00:00,14400000000000.0,69059.35,69104.67,['10.00321321 USDT'],-0.00066,-13.28442653 USDT
BINANCE-1-009,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-100000-001-000-17,O-20240525-110000-001-000-18,BUY,FLAT,0.000000,0.072354,2024-05-25 10:00:00+00:00,1716634800000000000,2024-05-25 11:00:00+00:00,3600000000000.0,69104.67,69018.56,['9.99376818 USDT'],-0.00125,-16.22417112 USDT
BINANCE-1-010,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-110000-001-000-19,O-20240525-140000-001-000-20,SELL,FLAT,0.000000,0.072444,2024-05-25 11:00:00+00:00,1716645600000000000,2024-05-25 14:00:00+00:00,10800000000000.0,69018.56,68847.649999999,['9.98757972 USDT'],0.00248,2.39382432 USDT
BINANCE-1-011,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-140000-001-000-21,O-20240525-150000-001-000-22,BUY,FLAT,0.000000,0.072624,2024-05-25 14:00:00+00:00,1716649200000000000,2024-05-25 15:00:00+00:00,3600000000000.0,68847.649999999,68849.5,['10.00011782 USDT'],3e-05,-9.86576342 USDT
BINANCE-1-012,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240525-150000-001-000-23,O-20240526-040000-001-000-24,SELL,FLAT,0.000000,0.072622,2024-05-25 15:00:00+00:00,1716696000000000000,2024-05-26 04:00:00+00:00,46800000000000.0,68849.5,68974.0,['10.00901822 USDT'],-0.00181,-19.05045722 USDT
BINANCE-1-013,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240526-040000-001-000-25,O-20240526-100000-001-000-26,BUY,FLAT,0.000000,0.072491,2024-05-26 04:00:00+00:00,1716717600000000000,2024-05-26 10:00:00+00:00,21600000000000.0,68974.0,68993.21,['10.00138102 USDT'],0.00028,-8.60882891 USDT
BINANCE-1-014,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240526-100000-001-000-27,O-20240526-120000-001-000-28,SELL,FLAT,0.000000,0.072471,2024-05-26 10:00:00+00:00,1716724800000000000,2024-05-26 12:00:00+00:00,7200000000000.0,68993.21,69312.3,['10.02313861 USDT'],-0.00462,-33.14791000 USDT
BINANCE-1-015,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240526-120000-001-000-29,O-20240527-000000-001-000-30,BUY,FLAT,0.000000,0.072137,2024-05-26 12:00:00+00:00,1716768000000000000,2024-05-27 00:00:00+00:00,43200000000000.0,69312.3,69111.34,['9.98546612 USDT'],-0.0029,-24.48211764 USDT
BINANCE-1-016,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240527-000000-001-000-31,O-20240527-080000-001-000-32,SELL,FLAT,0.000000,0.072347,2024-05-27 00:00:00+00:00,1716796800000000000,2024-05-27 08:00:00+00:00,28800000000000.0,69111.34,68577.789999999,['9.96139548 USDT'],0.00772,28.63934637 USDT
BINANCE-1-017,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240527-080000-001-000-33,O-20240527-090000-001-000-34,BUY,FLAT,0.000000,0.072910,2024-05-27 08:00:00+00:00,1716800400000000000,2024-05-27 09:00:00+00:00,3600000000000.0,68577.789999999,68679.8,['10.00745089 USDT'],0.00149,-2.56990179 USDT
BINANCE-1-018,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240527-090000-001-000-35,O-20240527-170000-001-000-36,SELL,FLAT,0.000000,0.072802,2024-05-27 09:00:00+00:00,1716829200000000000,2024-05-27 17:00:00+00:00,28800000000000.0,68679.8,69260.02,['10.04229478 USDT'],-0.00845,-52.28347122 USDT
BINANCE-1-019,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240527-170000-001-000-37,O-20240527-210000-001-000-38,BUY,FLAT,0.000000,0.072192,2024-05-27 17:00:00+00:00,1716843600000000000,2024-05-27 21:00:00+00:00,14400000000000.0,69260.02,69555.81,['10.02139240 USDT'],0.00427,11.33227928 USDT
BINANCE-1-020,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240527-210000-001-000-39,O-20240527-220000-001-000-40,SELL,FLAT,0.000000,0.071885,2024-05-27 21:00:00+00:00,1716847200000000000,2024-05-27 22:00:00+00:00,3600000000000.0,69555.81,69324.0,['9.98337514 USDT'],0.00333,6.68028671 USDT
BINANCE-1-021,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240527-220000-001-000-41,O-20240527-230000-001-000-42,BUY,FLAT,0.000000,0.072125,2024-05-27 22:00:00+00:00,1716850800000000000,2024-05-27 23:00:00+00:00,3600000000000.0,69324.0,69436.429999999,['10.00809601 USDT'],0.00162,-1.89908226 USDT
BINANCE-1-022,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240527-230000-001-000-43,O-20240528-040000-001-000-44,SELL,FLAT,0.000000,0.072008,2024-05-27 23:00:00+00:00,1716868800000000000,2024-05-28 04:00:00+00:00,18000000000000.0,69436.429999999,67972.789999999,['9.89456311 USDT'],0.02108,95.49922601 USDT
BINANCE-1-023,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240528-040000-001-000-45,O-20240528-050000-001-000-46,BUY,FLAT,0.000000,0.073559,2024-05-28 04:00:00+00:00,1716872400000000000,2024-05-28 05:00:00+00:00,3600000000000.0,67972.789999999,67694.009999999,['9.97951414 USDT'],-0.0041,-30.48629216 USDT
