,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2024-04-01 00:00:00+00:00,9994.99999969,0E-8,9994.99999969,USDT,BINANCE-001,MARGIN,,[],True,{}
2024-04-01 20:00:00+00:00,9994.99999969,0E-8,9994.99999969,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 01:00:00+00:00,9714.42354483,5.00000031,9709.42354452,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00000031', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 01:00:00+00:00,9709.42351683,0E-8,9709.42351683,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 05:00:00+00:00,9651.33985823,5.00002800,9646.33983023,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002800', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 05:00:00+00:00,9646.33982613,0E-8,9646.33982613,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 10:00:00+00:00,9576.48675399,5.00003210,9571.48672189,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00003210', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 10:00:00+00:00,9571.48672752,0E-8,9571.48672752,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 15:00:00+00:00,9664.10273557,5.00002647,9659.10270910,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002647', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 15:00:00+00:00,9659.10275712,0E-8,9659.10275712,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 16:00:00+00:00,9751.68167569,4.99997845,9746.68169724,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99997845', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 16:00:00+00:00,9746.68168421,0E-8,9746.68168421,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 20:00:00+00:00,9732.34643554,4.99999148,9727.34644406,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999148', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 20:00:00+00:00,9727.34641478,0E-8,9727.34641478,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 17:00:00+00:00,9738.72833984,5.00002076,9733.72831908,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002076', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 17:00:00+00:00,9733.72832594,0E-8,9733.72832594,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 22:00:00+00:00,9713.23054938,5.00001390,9708.23053548,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001390', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 22:00:00+00:00,9708.23058023,0E-8,9708.23058023,USDT,BINANCE-001,MARGIN,,[],False,{}
