,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2024-04-01 01:00:00+00:00,9994.99999969,0E-8,9994.99999969,USDT,BINANCE-001,MARGIN,,[],True,{}
2024-04-01 20:00:00+00:00,9994.99999969,0E-8,9994.99999969,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 09:00:00+00:00,9687.44345675,5.00000031,9682.44345644,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00000031', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 09:00:00+00:00,9682.44346713,0E-8,9682.44346713,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 12:00:00+00:00,9629.61201581,4.99998962,9624.61202619,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99998962', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 12:00:00+00:00,9624.61200864,0E-8,9624.61200864,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-02 23:00:00+00:00,9487.15839694,5.00000717,9482.15838977,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00000717', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-02 23:00:00+00:00,9482.15837821,0E-8,9482.15837821,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 02:00:00+00:00,9367.46915409,5.00001873,9362.46913536,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001873', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 02:00:00+00:00,9362.46915823,0E-8,9362.46915823,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 03:00:00+00:00,9370.40030458,4.99999586,9365.40030872,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999586', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 03:00:00+00:00,9365.40031574,0E-8,9365.40031574,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 16:00:00+00:00,9379.12743887,4.99998884,9374.12745003,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99998884', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 16:00:00+00:00,9374.12746275,0E-8,9374.12746275,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 18:00:00+00:00,9369.89612112,4.99997612,9364.89614500,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99997612', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 18:00:00+00:00,9364.89609984,0E-8,9364.89609984,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-03 21:00:00+00:00,9350.52534685,5.00002128,9345.52532557,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002128', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-03 21:00:00+00:00,9345.52533098,0E-8,9345.52533098,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-04 00:00:00+00:00,9323.95004498,5.00001587,9318.95002911,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001587', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-04 00:00:00+00:00,9318.95005339,0E-8,9318.95005339,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-04 01:00:00+00:00,9336.01425511,4.99999159,9331.01426352,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999159', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-04 01:00:00+00:00,9331.01424749,0E-8,9331.01424749,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-04 13:00:00+00:00,9449.72842919,5.00000762,9444.72842157,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00000762', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-04 13:00:00+00:00,9444.72840528,0E-8,9444.72840528,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-04 18:00:00+00:00,9375.88859629,5.00002391,9370.88857238,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00002391', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-04 18:00:00+00:00,9370.88858383,0E-8,9370.88858383,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-05 02:00:00+00:00,9345.06035140,5.00001246,9340.06033894,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001246', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-05 02:00:00+00:00,9340.06035242,0E-8,9340.06035242,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-05 06:00:00+00:00,9395.39586468,4.99999898,9390.39586570,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99999898', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-05 06:00:00+00:00,9390.39585802,0E-8,9390.39585802,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-05 08:00:00+00:00,9409.21597734,5.00000666,9404.21597068,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00000666', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-05 08:00:00+00:00,9404.21596539,0E-8,9404.21596539,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-05 09:00:00+00:00,9432.24918247,5.00001195,9427.24917052,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001195', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-05 09:00:00+00:00,9427.24915029,0E-8,9427.24915029,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-05 12:00:00+00:00,9435.42633262,5.00003218,9430.42630044,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00003218', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-05 12:00:00+00:00,9430.42635306,0E-8,9430.42635306,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-05 16:00:00+00:00,9369.67596367,4.99997956,9364.67598411,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99997956', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-05 16:00:00+00:00,9364.67594807,0E-8,9364.67594807,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-05 18:00:00+00:00,9360.74467317,5.00001560,9355.74465757,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00001560', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-05 18:00:00+00:00,9355.74467006,0E-8,9355.74467006,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-05 21:00:00+00:00,9361.11597378,5.00000311,9356.11597067,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '5.00000311', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-05 21:00:00+00:00,9356.11600361,0E-8,9356.11600361,USDT,BINANCE-001,MARGIN,,[],False,{}
2024-04-05 23:00:00+00:00,9374.59568199,4.99997017,9369.59571182,USDT,BINANCE-001,MARGIN,,"[{'type': 'MarginBalance', 'initial': '0E-8', 'maintenance': '4.99997017', 'currency': 'USDT', 'instrument_id': 'BTCUSDT.BINANCE'}]",False,{}
2024-04-05 23:00:00+00:00,9369.59567460,0E-8,9369.59567460,USDT,BINANCE-001,MARGIN,,[],False,{}
