client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240401-200000-001-000-1,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-001,BINANCE-1-001,BINANCE-001,BINANCE-1-001,MARKET,BUY,0.071578,GTC,False,False,0.071578,TAKER,69853.869999999,0.0,['5.00000031 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c7edf277-562b-4796-8717-ac6e1695cc84,2024-04-01 20:00:00+00:00,2024-04-01 20:00:00+00:00
O-20240402-010000-001-000-2,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-002,BINANCE-1-001,BINANCE-001,BINANCE-1-002,MARKET,SELL,0.071578,GTC,True,False,0.071578,TAKER,66000.0,0.0,['4.72414800 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e560e9e9-75e9-453d-ad16-841d718402b7,2024-04-02 01:00:00+00:00,2024-04-02 01:00:00+00:00
O-20240402-010000-001-000-3,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-003,BINANCE-1-002,BINANCE-001,BINANCE-1-003,MARKET,SELL,0.075758,GTC,False,False,0.075758,TAKER,66000.0,0.0,['5.00002800 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,65498dbe-4c74-4902-9480-d1810badc2d8,2024-04-02 01:00:00+00:00,2024-04-02 01:00:00+00:00
O-20240402-050000-001-000-4,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-004,BINANCE-1-002,BINANCE-001,BINANCE-1-004,MARKET,BUY,0.075758,GTC,True,False,0.075758,TAKER,66700.0,0.0,['5.05305860 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9b6a8e49-3842-4948-90f2-5a8cc97395d0,2024-04-02 05:00:00+00:00,2024-04-02 05:00:00+00:00
O-20240402-050000-001-000-5,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-005,BINANCE-1-003,BINANCE-001,BINANCE-1-005,MARKET,BUY,0.074963,GTC,False,False,0.074963,TAKER,66700.0,0.0,['5.00003210 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f45eec72-40c7-415d-8059-75db43761500,2024-04-02 05:00:00+00:00,2024-04-02 05:00:00+00:00
O-20240402-100000-001-000-6,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-006,BINANCE-1-003,BINANCE-001,BINANCE-1-006,MARKET,SELL,0.074963,GTC,True,False,0.074963,TAKER,65834.0,0.0,['4.93511414 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,43878398-d5f8-41f2-bcbd-1bde782b8401,2024-04-02 10:00:00+00:00,2024-04-02 10:00:00+00:00
O-20240402-100000-001-000-7,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-007,BINANCE-1-004,BINANCE-001,BINANCE-1-007,MARKET,SELL,0.075949,GTC,False,False,0.075949,TAKER,65834.0,0.0,['5.00002647 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,dd1a2ed0-b3c8-4b79-98dd-b33f2540696f,2024-04-02 10:00:00+00:00,2024-04-02 10:00:00+00:00
O-20240402-150000-001-000-8,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-008,BINANCE-1-004,BINANCE-001,BINANCE-1-008,MARKET,BUY,0.075949,GTC,True,False,0.075949,TAKER,64550.0,0.0,['4.90250795 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,66b0a79b-a8e9-4c4d-9905-ac7dc2c58fd1,2024-04-02 15:00:00+00:00,2024-04-02 15:00:00+00:00
O-20240402-150000-001-000-9,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-009,BINANCE-1-005,BINANCE-001,BINANCE-1-009,MARKET,BUY,0.077459,GTC,False,False,0.077459,TAKER,64550.0,0.0,['4.99997845 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,54108a46-11af-4be9-95ff-83e0e7c3746b,2024-04-02 15:00:00+00:00,2024-04-02 15:00:00+00:00
O-20240402-160000-001-000-10,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-010,BINANCE-1-005,BINANCE-001,BINANCE-1-010,MARKET,SELL,0.077459,GTC,True,False,0.077459,TAKER,65811.009999999,0.0,['5.09765502 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,79aefb74-e48d-47ae-9668-6018b1e5f9b8,2024-04-02 16:00:00+00:00,2024-04-02 16:00:00+00:00
O-20240402-160000-001-000-11,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-011,BINANCE-1-006,BINANCE-001,BINANCE-1-011,MARKET,SELL,0.075975,GTC,False,False,0.075975,TAKER,65811.009999999,0.0,['4.99999148 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5965c396-52b0-47db-93c7-610ee1a15184,2024-04-02 16:00:00+00:00,2024-04-02 16:00:00+00:00
O-20240402-200000-001-000-12,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-012,BINANCE-1-006,BINANCE-001,BINANCE-1-012,MARKET,BUY,0.075975,GTC,True,False,0.075975,TAKER,65933.759999999,0.0,['5.00931742 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6148743e-ce86-44d6-81b4-78549d6789de,2024-04-02 20:00:00+00:00,2024-04-02 20:00:00+00:00
O-20240402-200000-001-000-13,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-013,BINANCE-1-007,BINANCE-001,BINANCE-1-013,MARKET,BUY,0.075834,GTC,False,False,0.075834,TAKER,65933.759999999,0.0,['5.00002076 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b09de30d-a178-448c-b538-2e99fecd0abd,2024-04-02 20:00:00+00:00,2024-04-02 20:00:00+00:00
O-20240403-170000-001-000-14,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-1-014,BINANCE-1-007,BINANCE-001,BINANCE-1-014,MARKET,SELL,0.075834,GTC,True,False,0.075834,TAKER,66150.0,0.0,['5.01641910 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d0e3f80b-9cea-4256-870a-96d9abbd2171,2024-04-03 17:00:00+00:00,2024-04-03 17:00:00+00:00
