position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
BINANCE-1-001,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240401-200000-001-000-1,O-20240402-010000-001-000-2,BUY,FLAT,0.000000,0.071578,2024-04-01 20:00:00+00:00,1712019600000000000,2024-04-02 01:00:00+00:00,18000000000000.0,69853.869999999,66000.0,['9.72414831 USDT'],-0.05517,-285.57645517 USDT
BINANCE-1-002,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-010000-001-000-3,O-20240402-050000-001-000-4,SELL,FLAT,0.000000,0.075758,2024-04-02 01:00:00+00:00,1712034000000000000,2024-04-02 05:00:00+00:00,14400000000000.0,66000.0,66700.0,['10.05308660 USDT'],-0.01061,-63.08368660 USDT
BINANCE-1-003,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-050000-001-000-5,O-20240402-100000-001-000-6,BUY,FLAT,0.000000,0.074963,2024-04-02 05:00:00+00:00,1712052000000000000,2024-04-02 10:00:00+00:00,18000000000000.0,66700.0,65834.0,['9.93514624 USDT'],-0.01298,-74.85310424 USDT
BINANCE-1-004,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-100000-001-000-7,O-20240402-150000-001-000-8,SELL,FLAT,0.000000,0.075949,2024-04-02 10:00:00+00:00,1712070000000000000,2024-04-02 15:00:00+00:00,18000000000000.0,65834.0,64550.0,['9.90253442 USDT'],0.0195,87.61598158 USDT
BINANCE-1-005,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-150000-001-000-9,O-20240402-160000-001-000-10,BUY,FLAT,0.000000,0.077459,2024-04-02 15:00:00+00:00,1712073600000000000,2024-04-02 16:00:00+00:00,3600000000000.0,64550.0,65811.009999999,['10.09763347 USDT'],0.01954,87.57894012 USDT
BINANCE-1-006,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-160000-001-000-11,O-20240402-200000-001-000-12,SELL,FLAT,0.000000,0.075975,2024-04-02 16:00:00+00:00,1712088000000000000,2024-04-02 20:00:00+00:00,14400000000000.0,65811.009999999,65933.759999999,['10.00930890 USDT'],-0.00187,-19.33524015 USDT
BINANCE-1-007,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-200000-001-000-13,O-20240403-170000-001-000-14,BUY,FLAT,0.000000,0.075834,2024-04-02 20:00:00+00:00,1712163600000000000,2024-04-03 17:00:00+00:00,75600000000000.0,65933.759999999,66150.0,['10.01643986 USDT'],0.00328,6.38190430 USDT
BINANCE-1-008,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240403-170000-001-000-15,O-20240403-220000-001-000-16,SELL,FLAT,0.000000,0.075586,2024-04-03 17:00:00+00:00,1712181600000000000,2024-04-03 22:00:00+00:00,18000000000000.0,66150.0,66354.83,['10.01551008 USDT'],-0.0031,-25.49779046 USDT
BINANCE-1-009,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240403-220000-001-000-17,O-20240404-020000-001-000-18,BUY,FLAT,0.000000,0.075352,2024-04-03 22:00:00+00:00,1712196000000000000,2024-04-04 02:00:00+00:00,14400000000000.0,66354.83,65699.429999999,['9.95055260 USDT'],-0.00988,-59.33625340 USDT
BINANCE-1-010,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240404-020000-001-000-19,O-20240404-030000-001-000-20,SELL,FLAT,0.000000,0.076104,2024-04-04 02:00:00+00:00,1712199600000000000,2024-04-04 03:00:00+00:00,3600000000000.0,65699.429999999,65710.58,['10.00082740 USDT'],-0.00017,-10.84938700 USDT
