position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl
BINANCE-1-001,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240401-200000-001-000-1,O-20240402-090000-001-000-2,BUY,FLAT,0.000000,0.071578,2024-04-01 20:00:00+00:00,1712048400000000000,2024-04-02 09:00:00+00:00,46800000000000.0,69853.869999999,65622.69,['9.69714121 USDT'],-0.06057,-312.55654325 USDT
BINANCE-1-002,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-090000-001-000-3,O-20240402-120000-001-000-4,SELL,FLAT,0.000000,0.076193,2024-04-02 09:00:00+00:00,1712059200000000000,2024-04-02 12:00:00+00:00,10800000000000.0,65622.69,66249.83,['10.04776292 USDT'],-0.00956,-57.83144094 USDT
BINANCE-1-003,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-120000-001-000-5,O-20240402-230000-001-000-6,BUY,FLAT,0.000000,0.075472,2024-04-02 12:00:00+00:00,1712098800000000000,2024-04-02 23:00:00+00:00,39600000000000.0,66249.83,64493.07,['9.86742815 USDT'],-0.02652,-142.45361887 USDT
BINANCE-1-004,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240402-230000-001-000-7,O-20240403-020000-001-000-8,SELL,FLAT,0.000000,0.077528,2024-04-02 23:00:00+00:00,1712109600000000000,2024-04-03 02:00:00+00:00,10800000000000.0,64493.07,65906.49,['10.10961709 USDT'],-0.02192,-119.68924285 USDT
BINANCE-1-005,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240403-020000-001-000-9,O-20240403-030000-001-000-10,BUY,FLAT,0.000000,0.075865,2024-04-03 02:00:00+00:00,1712113200000000000,2024-04-03 03:00:00+00:00,3600000000000.0,65906.49,66077.11,['10.01293581 USDT'],0.00259,2.93115049 USDT
BINANCE-1-006,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240403-030000-001-000-11,O-20240403-160000-001-000-12,SELL,FLAT,0.000000,0.075669,2024-04-03 03:00:00+00:00,1712160000000000000,2024-04-03 16:00:00+00:00,46800000000000.0,66077.11,65829.869999999,['9.98126927 USDT'],0.00374,8.72713429 USDT
BINANCE-1-007,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240403-160000-001-000-13,O-20240403-180000-001-000-14,BUY,FLAT,0.000000,0.075953,2024-04-03 16:00:00+00:00,1712167200000000000,2024-04-03 18:00:00+00:00,7200000000000.0,65829.869999999,65840.0,['10.00072164 USDT'],0.00015,-9.23131775 USDT
BINANCE-1-008,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240403-180000-001-000-15,O-20240403-210000-001-000-16,SELL,FLAT,0.000000,0.075942,2024-04-03 18:00:00+00:00,1712178000000000000,2024-04-03 21:00:00+00:00,10800000000000.0,65840.0,65963.27,['10.00940393 USDT'],-0.00187,-19.37077427 USDT
BINANCE-1-009,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240403-210000-001-000-17,O-20240404-000000-001-000-18,BUY,FLAT,0.000000,0.075800,2024-04-03 21:00:00+00:00,1712188800000000000,2024-04-04 00:00:00+00:00,10800000000000.0,65963.27,65744.38,['9.98343987 USDT'],-0.00332,-26.57530187 USDT
BINANCE-1-010,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240404-000000-001-000-19,O-20240404-010000-001-000-20,SELL,FLAT,0.000000,0.076052,2024-04-04 00:00:00+00:00,1712192400000000000,2024-04-04 01:00:00+00:00,3600000000000.0,65744.38,65454.55,['9.97794103 USDT'],0.00441,12.06421013 USDT
BINANCE-1-011,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240404-010000-001-000-21,O-20240404-130000-001-000-22,BUY,FLAT,0.000000,0.076389,2024-04-04 01:00:00+00:00,1712235600000000000,2024-04-04 13:00:00+00:00,43200000000000.0,65454.55,67075.7,['10.12385327 USDT'],0.02477,113.71417408 USDT
BINANCE-1-012,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240404-130000-001-000-23,O-20240404-180000-001-000-24,SELL,FLAT,0.000000,0.074543,2024-04-04 13:00:00+00:00,1712253600000000000,2024-04-04 18:00:00+00:00,18000000000000.0,67075.7,67931.259999999,['10.06382382 USDT'],-0.01276,-73.83983290 USDT
BINANCE-1-013,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240404-180000-001-000-25,O-20240405-020000-001-000-26,BUY,FLAT,0.000000,0.073604,2024-04-04 18:00:00+00:00,1712282400000000000,2024-04-05 02:00:00+00:00,28800000000000.0,67931.259999999,67648.0,['9.97917585 USDT'],-0.00417,-30.82824489 USDT
BINANCE-1-014,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240405-020000-001-000-27,O-20240405-060000-001-000-28,SELL,FLAT,0.000000,0.073912,2024-04-05 02:00:00+00:00,1712296800000000000,2024-04-05 06:00:00+00:00,14400000000000.0,67648.0,66832.5,['9.93972272 USDT'],0.01206,50.33551328 USDT
BINANCE-1-015,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240405-060000-001-000-29,O-20240405-080000-001-000-30,BUY,FLAT,0.000000,0.074814,2024-04-05 06:00:00+00:00,1712304000000000000,2024-04-05 08:00:00+00:00,7200000000000.0,66832.5,67151.21,['10.02385728 USDT'],0.00477,13.82011266 USDT
BINANCE-1-016,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240405-080000-001-000-31,O-20240405-090000-001-000-32,SELL,FLAT,0.000000,0.074459,2024-04-05 08:00:00+00:00,1712307600000000000,2024-04-05 09:00:00+00:00,3600000000000.0,67151.21,66708.009999999,['9.96702367 USDT'],0.0066,23.03320513 USDT
BINANCE-1-017,BACKTESTER-001,ModelStrategy-000,BTCUSDT.BINANCE,BINANCE-001,O-20240405-090000-001-000-33,O-20240405-120000-001-000-34,BUY,FLAT,0.000000,0.074954,2024-04-05 09:00:00+00:00,1712318400000000000,2024-04-05 12:00:00+00:00,10800000000000.0,66708.009999999,66883.99,['10.01325477 USDT'],0.00264,3.17715015 USDT
